x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
1750.0,1250.0,0.08,5.504136051146885e-05,2.0540254363010513e-06,1.0,8.725187243803224e-08,0.01
1750.0,1350.0,0.08,4.375422928525287e-05,1.5710100276959732e-06,1.0,2.3060775312465476e-08,0.0
1950.0,1300.0,0.04,3.0491763830748153e-05,8.424084957193873e-07,0.9999999914888542,2.158373632870248e-08,0.01
1950.0,1200.0,0.06,3.863809330991098e-05,1.2192174628739482e-06,0.9999999999998899,1.1071589430277802e-07,0.02
1950.0,1150.0,0.09,4.060686764234316e-05,1.5273395443007378e-06,0.9999999999999951,2.422871878462383e-07,0.05
1900.0,1050.0,0.25,4.974990976153115e-05,3.6247669369669266e-06,1.0,1.1273754936995378e-06,0.19
1900.0,950.0,0.58,4.9759949094382854e-05,7.14864337950137e-06,1.0,2.9830865995332336e-06,0.5
1900.0,850.0,0.93,5.1539814781203155e-05,1.1303822044392609e-05,1.0,5.325128726780954e-06,0.85
1900.0,750.0,0.96,5.629110325944719e-05,1.2721342394415149e-05,1.0,6.345599814904252e-06,0.93
1850.0,650.0,0.65,6.9721889519913e-05,1.1019840276187793e-05,1.0,5.275199641586604e-06,0.63
1850.0,550.0,0.29,7.608007452751266e-05,6.268453534127083e-06,1.0,2.849518964310671e-06,0.31
1800.0,450.0,0.1,8.167346059863728e-05,3.2623570976707616e-06,1.0,1.0533084452538837e-06,0.11
1850.0,350.0,0.02,8.07673247990228e-05,1.9793000836838476e-06,1.0,3.1979557175392515e-07,0.03
1850.0,250.0,0.01,7.525435745559017e-05,1.558497118837708e-06,1.0,7.763632222742083e-08,0.01
1900.0,200.0,0.0,6.666383841508918e-05,1.3332805415674244e-06,1.0,3.38411263370127e-08,0.0
1900.0,100.0,0.0,5.009012639578417e-05,9.811800707010175e-07,1.0,7.393940398133195e-09,0.0
2100.0,150.0,0.0,3.0282721075285872e-05,5.97800629878409e-07,0.9999999890286495,5.1423244922664724e-09,0.0
2050.0,200.0,0.0,4.335470850070196e-05,8.689917411483906e-07,1.0,1.6992779364039353e-08,0.0
2000.0,300.0,0.01,5.8225545401958486e-05,1.2806610267887786e-06,1.0,1.069582706586552e-07,0.02
1950.0,350.0,0.02,6.875989958324955e-05,1.6847541961127467e-06,1.0,2.6813148958782536e-07,0.03
1950.0,450.0,0.09,6.605591166426875e-05,2.593611628741175e-06,1.0,9.371064936372448e-07,0.12
2000.0,550.0,0.28,4.969256451350553e-05,3.935211893545907e-06,1.0,1.9848970593180984e-06,0.33
2000.0,650.0,0.61,4.370509390820668e-05,6.606440815577952e-06,1.0,3.5997396458314524e-06,0.68
0.0,0.0,0.24,1.07311030052146e-07,6.102134418272227e-09,0.00023012485312012831,2.634215158848516e-12,0.14
0.0,50.0,0.24,1.4472593199773176e-07,8.178887578311692e-09,0.00041852999133040747,3.5629140509683415e-12,0.14
0.0,100.0,0.24,1.8053882552582792e-07,1.0145525458923536e-08,0.0006512152327896592,4.4675551227708315e-12,0.14
0.0,150.0,0.24,2.10098999807012e-07,1.175063705738039e-08,0.0008818225228418575,5.240696724707417e-12,0.14
0.0,200.0,0.24,2.3063939686457813e-07,1.2851854505350608e-08,0.0010625782501932912,5.811314277432159e-12,0.14
0.0,250.0,0.24,2.4227567167921496e-07,1.3466528378263173e-08,0.0011724374155771544,6.1553811744820725e-12,0.14
