time(s),moth_pos_x,moth_pos_y,step_0_voltage,,,step_1_voltage,step_2_voltage,step_3_voltage,delta_x,delta_y,,,,
5.76,-61.96605075,364.1126635,2.553732432,0,0,2.696395669,2.746791513,2.558054324,-9.47029946,-2.416918,-5.62388129,-1.5901175,-2.34171675,-0.7383842
5.83,-63.35655396,363.5449502,2.52989282,0,0,2.553732432,2.696395669,2.746791513,-7.0143845,-2.1578308,-3.73221996,-1.3060975,-1.39050321,-0.5677133
5.9,-64.13436252,363.0823314,2.637684879,0,0,2.52989282,2.553732432,2.696395669,-4.51002852,-1.7687163,-2.16831177,-1.0303321,-0.77780856,-0.4626188
5.96,-64.81016658,362.5414335,2.765963459,0,0,2.637684879,2.52989282,2.553732432,-2.84411583,-1.57123,-1.45361262,-1.0035167,-0.67580406,-0.5408979
6.03,-65.80781085,361.6845085,2.946845986,0,0,2.765963459,2.637684879,2.52989282,-2.45125689,-1.8604417,-1.67344833,-1.3978229,-0.99764427,-0.856925
6.1,-67.2437543,360.3333486,2.930984928,0,0,2.946845986,2.765963459,2.637684879,-3.10939178,-2.7489828,-2.43358772,-2.2080849,-1.43594345,-1.3511599
6.16,-68.87453361,358.475186,2.179942192,0,0,2.930984928,2.946845986,2.765963459,-4.06436703,-4.0662475,-3.06672276,-3.2093225,-1.63077931,-1.8581626
6.23,-70.25559307,356.2791431,1.249888889,0,0,2.179942192,2.930984928,2.946845986,-4.44778222,-5.4053654,-3.01183877,-4.0542055,-1.38105946,-2.1960429
6.29,-71.01266575,354.0080486,1.823127809,0,0,1.249888889,2.179942192,2.930984928,-3.76891145,-6.3253,-2.13813214,-4.4671374,-0.75707268,-2.2710945
6.36,-71.05169158,351.902355,1.302067838,0,0,1.823127809,1.249888889,2.179942192,-2.17715797,-6.572831,-0.79609851,-4.3767881,-0.03902583,-2.1056936
6.43,-70.5858642,350.1205958,1.585787098,0,0,1.302067838,1.823127809,1.249888889,-0.33027113,-6.1585473,0.42680155,-3.8874528,0.46582738,-1.7817592
6.49,-69.99896432,348.7510819,1.54223621,0,0,1.585787098,1.302067838,1.823127809,1.01370143,-5.2569667,1.05272726,-3.1512731,0.58689988,-1.3695139
6.56,-69.66524899,347.8547656,1.449116044,0,0,1.54223621,1.585787098,1.302067838,1.38644259,-4.0475894,0.92061521,-2.2658302,0.33371533,-0.8963163
